title,author,published_at,description
[Updated] Appeals Court sets July 23 for verdict on appeal by 5 former UNPM students,Rahmat Khairulrijal,"May 16, 2024 @ 1:27pm","PUTRAJAYA: The Court of Appeal has set July 23 to deliver its verdict on the appeal by six former National Defence Universiti (UPNM) cadets against their conviction for the manslaughter of navy cadet Zulfarhan Osman Zulkarnain seven years ago. A three-member bench Court of Appeal led by Datuk Hadhariah Syed Ismail fixed the date after hearing lengthy submissions from both parties today. Other members of the bench were Mohamed Zaini Mazlan and Datuk Azmi Ariffin. The six are - Muhammad Akmal Zuhairi Azmal, Muhammad Azamuddin Mad Sofi, Muhammad Najib Mohd Razi, Muhammad Afif Najmudin Azahat, Mohamad Shobirin Sabri and Abdoul Hakeem Mohd Ali. Earlier, counsel Amer Hamzah Arshad, who appeared for Muhammad Akmal and Muhammad Azamuddin said the court should consider the fact that the accused deserve a second chance. ""If the court agrees with the High Court's decision that the accused are guilty under Section 304 of the Penal Code, the prison sentence should be reduced to 12 years instead of 18 years. ""I have seen other cases (under the same section) where the accused received a prison sentence of less than 18 years. ""Please give these young accused a second chance because this case is not under Section 302 of the same Code for murder. It is true that the accused made a mistake, but they deserve a second chance,"" he said. Amer Hamzah said both of his clients helped Zulfarhan to obtain treatment, medicine, and food following the incident. He said the prosecution might argue that such behaviour indicates that the accused knew they were committing an offence. ""However, the argument fails to prove that the accused had the intent to murder by causing the victim's death. In fact, the accused's actions after the incident indicate otherwise,"" he said. On Nov 2, 2021, High Court judge Datuk Azman Abdullah sentenced the five, including Mohamad Shobirin Sabri, to 18 years' jail after they were found guilty of causing the death of Zulfarhan without intent. The judge sentenced them under a lesser charge after finding that the common intention and abetment of the sixth accused caused injuries to Zulfarhan, but there was no intent to murder. The former students, then aged 21, had committed the offence at the Jebat Hostel Block, UPNM, between 2.30am and 5.30am on May 21, 2017, and in the same room between 1.30am and 4.30am on May 22, the same year. Zulfarhan was found with burn marks and bruises in an apartment in Serdang at 8pm on June 1, 2017, and was pronounced dead at 10pm at the Serdang Hospital."
Laotian skipper detained for illegal fuel tank modification in Mersing waters,Jassmine Shadiqe,"May 16, 2024 @ 1:22pm","MERSING: The Malaysian Maritime Enforcement Agency (MMEA) yesterday arrested a Laotian fishing boat skipper after he was found to have committed several offences including entering Malaysian waters without valid documents. The 46-year-old man was arrested after a patrol team from the MMEA intercepted his boat in the waters off Pulau Mertang here. Mersing Maritime Zone Director Commander Suhaizan Saadin said checks by the agency showed the skipper violated conditions of his license as the fuel storage of his boat had been illegally modified.   ""The skipper was also unable to produce valid documents to be in the country (waters),"" he said, adding the case is being investigated under Section 8(b) of the Fisheries Act 1985 for violating licensing conditions as stipulated in the license book. The boat skipper, said Suhaizan, is also being investigated under the Immigration Act 1959/63. ""The boat skipper was arrested. We also seized the boat to facilitate investigation into the case,"" he said. Suhaizan also urged the maritime community to adhere to the law and comply with the stipulated fishing license conditions. He advised the public to report maritime crime or emergencies at sea, to the Johor State Maritime operations centre at 07-219 9404 or MERS 999."
"Enforcers seize 56,520 litres of diesel illegally stored at warehouse",Izz Laily Hussein,"May 16, 2024 @ 1:16pm","JOHOR BARU: The Domestic Trade and Cost of Living Ministry seized 56,520 litres of diesel in a raid on a warehouse in Bukit Pasir, Muar, yesterday. State director Lilis Saslinda Pornomo said enforcers swooped on the warehouse because they believed it was used to store diesel without a licence. ""We confiscated 56,520 litres of diesel worth about RM121,518,"" she said in a statement today. She said the people at the warehouse could not produce licences and permits for possessing, storing, and transporting diesel. The raiding team also seized 20 storage tanks, diesel transfer equipment, and two lorries. Two lorry drivers, both Malaysians, and a foreign warehouse keeper were detained."
[Updated] Inspector Sheila's public nuisance case set for full trial in July,Rahmat Khairulrijal,"May 16, 2024 @ 11:26am","KUALA LUMPUR: Controversial former policewoman Sheila Sharon Steven Kumar, better known as ""Inspector Sheila"", failed to quash the public nuisance charges against her today. That means she will go for full trial before magistrate Illi Marisqa Khalizan in July this year for allegedly causing public distress to Nuraihan Nadzifah Ibrahim by repeatedly honking and screaming at her. The accused pleaded not guilty to the charge on Nov 8 last year. Earlier, deputy public prosecutor Hamizah Hisan told the court that the Attorney-General's Chambers (A-GC) dismissed Sheila's representation letter seeking the dismissal of her case sent on Feb 20 this year. Representations are usually made to the A-GC seeking the withdrawal or reduction of charges preferred against an accused. The court earlier set June 10 and 11 for the trial dates. However, lawyer Anis Salihah Abdul Malek, who appeared for the accused, asked the court to set a new trial date as lead counsel M. Manoharan needs to attend another case at the Court of Appeal on that date. The court then fixed July 1 and 2 to hear the case. On Feb 21, Manoharan said the defence sent the (representation) letter on the grounds that the charges faced by the former cop were trivial. The offence is alleged to have occurred near a parking lot of a shopping mall in Brickfields at 5.26pm on June 16. She was charged under Section 268 of the Penal Code, which carries a maximum fine of RM400 upon conviction. c On June 26 last year, Sheila, who has since been suspended from the force, was charged with making criminal threats with an intention to intimidate a 69-year-old woman at a restaurant in Taman Sri Gombak, Gombak, around noon on June 15. The charge under Section 506 of the Penal Code carries a maximum penalty of two years' jail and a fine if convicted. Sheila was also charged under Section 509 of the Penal Code with insulting the modesty of 41-year-old Lance Corporal Abdul Arif Farhan Abdul Raz. The offence carries a maximum penalty of five years' imprisonment and a fine if convicted. Subsequently, Sheila was accused of intimidating a male police officer with the rank of lance corporal with intent to insult his modesty at 1.25pm at the same place and date of the previous charges."
Three Sabah ex-CMs attend court to hear judicial review on 40 per cent revenue rights [NSTTV],Ersie Anjumin,"May 16, 2024 @ 9:49am","KOTA KINABALU: Three former Sabah chief ministers and two members of Parliament were among several leaders who joined the crowd for the hearing on the judicial review of the 40 per cent Special Grant entitlement to Sabah. Tan Sri Joseph Pairin Kitingan , Datuk Seri Shafie Apdal and Datuk Yong Teck Lee arrived early and joined the crowd sitting in the public gallery of the Court of Appeal here this morning. Also spotted in the packed public gallery were Tuaran MP Datuk Seri Wilfred Madius Tangau and Kota Belud MP Isnara Issah Munirah. The Court of Appeal here will hear the federal government's appeal against a lawsuit by the Sabah Law Society (SLS). The High Court on Nov 11, 2022, granted SLS leave for judicial review, but the decision was immediately appealed by the federal government's Attorney General's Chambers (AGC). Meanwhile, there was heavy police presence to maintain order at the court compound as public thronged the area in a show of support for SLS. More to come"
4 nabbed over failed Kelantan tube wells project arrive in court for remand [NSTTV],Sharifah Mahsinah Abdullah,"May 16, 2024 @ 9:32am","KOTA BARU: The four individuals arrested by the Malaysian Anti-Corruption Commission (MACC) yesterday in connection with an investigation into a failed tube wells project in the state have been remanded for three days at the Magistrate Court here today. The remand order against the four was obtained before Magistrate Rais Imran Hamid and will end on May 18. Earlier, the four arrived at the Kota Baru court complex around 8:45 am aboard a van. The group comprises two former senior officers of a Kelantan water company and two owners of a consulting company involved in the project."" Yesterday, MACC detained the four, aged 40 to 60, in separate locations in Kota Baru. The arrests came after the New Straits Times reported on the plight of villagers in Kota Baru who have been struggling with water supply. Following the arrest, MACC chief commissioner Tan Sri Azam Baki confirmed that it is investigating 10 tube well projects by state-owned water company Air Kelantan Sdn Bhd (AKSB) that failed to function. He said the projects, worth some RM300 million, were carried out by AKSB between 2008 and 2015. In total, he said, 28 tube wells were constructed under the horizontal collector well (HCW) and the repair of water treatment plants project. Azam also confirmed the arrest of four people in relation to the investigation into the construction of the tube well projects in Kelantan which failed to supply water to the residents. He added that investigations were being carried out by MACC's special operations division. ""The tube wells built by the company should supply raw water to the water treatment plant before it is distributed to consumers. ""The construction of HCWs of different capacities is an alternative to overcome the water problem in the state especially in the dry season. ""But many of the wells that were built failed to produce the quantity of water resources at an optimum level,"" he said."
"Senior govt official arrested for supplying facemasks, thermometers to own agency",Fuad Nizam,"May 15, 2024 @ 9:00pm","KUALA LUMPUR: A senior government official, who used his company to supply the agency he is serving with facemasks and thermometers, is expected to be hauled to court tomorrow. The 58-year-old 'Datuk' was arrested this afternoon by the Malaysian Anti-Corruption Commission (MACC) at their office in Shah Alam. The New Straits Times was made to understand that the man had charged his agency RM47,910 for the items. He is expected to be remanded tomorrow at the Shah Alam Courts. This arrest was part of a larger crackdown by the MACC on corruption. Earlier today, two senior officers from statutory bodies were also remanded for allegedly abusing their power and misappropriating RM1.2 billion from Finance Ministry funds intended for a development project. The graftbusters today also confirmed that they are investigating 10 tube well projects by state-owned water company Air Kelantan Sdn Bhd (AKSB) that failed to function. These projects, worth some RM300 million, were carried out by AKSB between 2008 and 2015."
Ex-Sabah Water Dept director accused of receiving RM51.7mil in bribes [NSTTV],Ersie Anjumin,"May 15, 2024 @ 8:06pm","KOTA KINABALU: The Special Corruption Court heard today that former Sabah Water Department director Ag Mohd Tahir Mohd Talib allegedly received bribes totaling RM51,710,755.09 between 2005 and 2016. Abdullah Sani A. Latib, 38, revealed this during the trial, stating that the bribes were part of an allocation amounting to RM2,154,614,795.59 over the same period. As the 46th prosecution witness and the final witness in Sabah's largest corruption scandal, Abdullah, who previously served as the investigating officer for ""Ops Water"" and currently heads the Integrity and Governance Department at the Malaysian Communications and Multimedia Commission, disclosed these details before Sessions Court judge Abu Bakar Manat. Abdullah's witness statement outlined that investigations into former Water Department deputy director Teo Chee Kong uncovered evidence, including the ""HQ List Schedule,"" which indicated that Ag Tahir had received bribes handed over by Teo and documented in the schedule. Teo recorded the bribe payments with the code ""PJA,"" referring to ""Pengarah Jabatan Air"" (Water Department Director), Abdullah said. Additionally, he said that Ag Tahir allegedly abused his position as director to authorise expenditure allocations and instructed Teo to collect bribes from contractors in the Sabah State Water Department. In return, Ag Tahir purportedly accepted bribes from Teo and Michael Wong for personal gain. Abdullah also alleged violations of Section 4 of the Anti-Money Laundering, Anti-Terrorism Financing and Proceeds Unlawful Activities Act 2001 (Amla) by Ag Tahir and his wife Fauziah Piut. He claimed that the couple possessed assets acquired through unlawful activities, namely, the collection of bribes from contractors and abuse of power. During the trial, Ag Tahir, Fauziah, and former deputy director Lim Lam Beng faced 37 counts of money laundering involving cash and bank savings totaling RM61.57 million, as well as unlawful possession of luxury goods between October and November 2016. Representing Ag Tahir and Fauziah were Counsel Priskila Sinem and Mohammed Fareez Mohammed Salleh, while Lim was represented by Datuk Tan Hock Chuan, Baldev Singh, Karpaljit Singh, and Calvin Wong. Deputy public prosecutors Mahadi Abdul Jumaat, Haresh Prakash Somiah, and Zander Lim conducted the trial. The trial continues."
Police not ruling out business rivalry behind firebombing of entertainment outlet,Safeek Affendy Razali,"May 15, 2024 @ 8:05pm","KUALA LUMPUR: Police today did not rule out business rivalry as the main reason of the molotov cocktail attack on an entertainment outlet in Jalan Yap Kwan Seng here last week. Kuala Lumpur police chief Datuk Rusdi Mohd Isa also did not rule out the possibility that the suspects arrested in connection with the case were hired by the main culprit. Rusdi said to date, six suspects had been nabbed to facilitate investigations into the case. ""The sixth suspect, who is a 23-year-old man, was arrested in Kuantan, Pahang, this morning. We are still tracking down another two individuals to facilitate our probe into the attack,"" he said after the Kuala Lumpur police contingent's monthly assembly here today (May 15). Rusdi added that all suspects had no links to any secret societies. ""This is an isolated case that is about rivalry between businessmen,"" he said. A 45-second closed-circuit television (CCTV) recording of the attack went viral recently, showing several men throwing molotov cocktails at the exterior of the entertainment outlet on May 9, setting it on fire. The clip showed four men on two motorcycles stopping in front of the premises before throwing their firebombs and fleeing. Police had recorded statements from the owner and manager of the entertainment outlet."
"MACC probes power abuse, misappropriation of RM1.2 bil in govt funds",Dawn Chan,"May 15, 2024 @ 7:49pm","PUTRAJAYA: Two statutory body senior officers have been remanded by the Putrajaya Malaysian Anti-Corruption Commission (MACC) for alleged abuse of power and misappropriation of Finance Ministry funds worth RM1.2 billion meant for a development project. Magistrate Irza Zulaikha Rohanuddin granted a four-day remand order until May 18 against the duo, in their 50s, following an application from MACC officers from today. Sources said the suspects had misappropriated loan allocation from the government. They had transferred part of the money received from the ministry to a contractor company and consultant unrelated to the development costs stated in the government loan allocation application. A MACC source confirmed the duo's remand, adding that investigations are conducted under Section 23 of the MACC Act 2009. It said that MACC viewed the case seriously as the misappropriation involved government funds."
"MACC nabs 3 govt officers for allegedly taking RM36,000 in bribes",Ahmad Mukhsein Mukhtar,"May 15, 2024 @ 6:06pm","SUNGAI PETANI: The Malaysian Anti-Corruption Commission (MACC) detained three enforcement officers from two different government agencies for allegedly soliciting and receiving up to RM36,000 in bribes to protect massage parlour operations in Kedah. A source said all three male suspects, who are in their 30s and 40s, were arrested yesterday between 8pm and 12am when they came to the Sungai Petani MACC office to have their statements recorded. The source added that the suspects were presented at the Sungai Petani magistrate's court today, where MACC was granted a four-day remand until Saturday by magistrate Khairatul Animah Jelani. ""The suspects are believed to have committed the act since last January and have been receiving monthly payments up to RM6,000 to protect massage parlours workers who have no valid work permits. The investigation is ongoing, and there could other masterminds involved,"" said the source. State MACC director Ahmad Nizam Ismail confirmed the arrests when contacted. ""The case is being investigated under Section 16(a)(B) of the MACC Act 2009."""
Bangsar brawl main suspect charged with murder,Dawn Chan,"May 15, 2024 @ 5:02pm","KUALA LUMPUR: The main suspect of a brawl in Bangsar was today charged at the magistrate's court with the murder of a 28-year-old man, three years after he committed the act. Syed Kamal Syed Mohamed, a 28-year-old illegal debt collector who stood in the dock, nodded to indicate he understood the charge before magistrate llli Marisqa Khalizan. However, no plea was recorded from Syed Kamal after the charge was read out as murder cases are under the jurisdiction of the High Court. Syed Kamal was accused of murdering M. Sanjeet Kumar, 28, along with three others who have been charged and another who is still at large. He had committed the murder at 12.01am at the back lane of Affin Bank, Jalan Telawi 3 in Bangsar on March 13, 2021. The offence punishable under Section 302 of the Penal Code, read with Section 34 of the same code, carries a death sentence or a maximum 40 years jail. If the death sentence is not meted out, there will be not less than 12 strokes of the rotan. The court fixed July 17 for mention. Deputy public prosecutor Hamizah Hisan prosecuted. On March 13, 2021, Sanjeet was killed while his friend was badly injured in the brawl, which occurred when they were walking towards a parking area to head home after having drinks. They were attacked by a group of armed men, who had used helmets, knives and beer bottles. Sanjeet had tried to escape after being attacked but failed when he collapsed in front of a 24-hour convenience store. His friend, who was slashed with a blade on the face, was in critical condition and received 300 stitches on his face. On April 13 last year, three men – G. Naresh, 27, V. Pravin, 28, and S. Letchumanan, 30 - were also charged with murder."
Selangor tops in sex crimes for past three years,Bernama,"May 15, 2024 @ 4:45pm","SHAH ALAM: Selangor recorded the highest number of sexual crimes in the country over the past three years, with 90 per cent of the perpetrators being locals. Bukit Aman's Sexual, Women and Child Investigation Division (D11) principal assistant director SAC Siti Kamisah Hasan, attributed Selangor's highest sexual crime rate in the past three years to factors such as population density, economic activities, the pressure of living and widespread internet access. She noted that Selangor, as a developed state bordered by Negri Sembilan, Kuala Lumpur and Perak, facilitated the entry of residents from outside, thereby contributing to the state's crime rate. ""Selangor, as a developed state with widespread internet access, has numerous facilities such as universities and prisons, and several sexual crimes are also reported here. ""Johor follows closely, with similar contributing factors, particularly its high population,"" she said during a townhall meeting at the Selangor Contingent Police Headquarters which was also attended by State police chief Datuk Hussein Omar Khan. However, Siti Kamsiah did not provide detailed statistics or the exact number of sexual crime cases recorded in Selangor. Regarding the 90 per cent of sexual crime perpetrators who were locals, she said investigations revealed that the perpetrators were known to the victims, with some being family members, friends and individuals in positions of trust such as teachers. ""Statistics show that the majority of sexual crime cases involve individuals in the B40 category, often due to economic pressures and unsuitable home environments,"" she said. Meanwhile, when asked to comment on the high rate of sexual crimes, Hussein pointed out that the high number of cases may not accurately reflect the crime rate, taking into account the controlled crime situation and the population of Selangor, which exceeds seven million. Nevertheless, Hussein said they are taking the issue seriously and crime prevention activities, including patrols by the Mobile Patrol Vehicle (MPV) and Motorcycle Patrol Unit (URB) have been increased. In addition, the police are collaborating with the local authorities to install CCTV cameras in key locations such as Petaling Jaya, Shah Alam and Klang, he added. — BERNAMA"
"Three men and a granny charged with drug possession, distribution",Omar Ahmad,"May 15, 2024 @ 4:32pm","PONTIAN: A 75-year-old woman and three men were brought before the magistrate's court here today on three charges of trafficking and possessing drugs earlier this month. The accused Chan Ah Moi, 75; Chan Chui Lai, 59; Tan Chee Seong, 50, and Lim Huang Kin, 40, nodded in acknowledgment after the charges were read before magistrate Nur Azzuin Abdul Moati. However, no plea was recorded from all the accused as it is under the jurisdiction of the High Court. According to the charges, they were jointly accused of trafficking in methylenedioxymethamphetamine (MMDA) weighing 23,572.74g and 532.59g, as well as cannabis weighing 362.02g. They were charged under Section 39B (1) (a) of the Dangerous Drugs Act 1952, and can be punished under Section 39B(2) of the same act. The Act provides for the death penalty or life imprisonment and shall be punished with not less than 15 strokes, if not sentenced to death. All the accused also pleaded not guilty to the charge of possessing 232.6g of ketamine. The court has set July 21 for the next mention date of the case while awaiting the chemistry report. Last Friday, Johor police chief Commissioner M Kumar said that an elderly woman was among four individuals detained on suspicion of involvement in drug trafficking and packaging activities, with an estimated value of RM4.3 million."
Predators exploit vulnerable children within an hour of online interaction: Police,Ruwaida Md Zain,"May 15, 2024 @ 3:52pm","SHAH ALAM: The police have revealed that within just an hour of acquaintance, children can be easily influenced and deceived into engaging in sexual relations with individuals they have just met online. Bukit Aman Sexual, Women and Child Investigations Division (D11) principal assistant director Assistant Commissioner Siti Kamsiah Hassan said that in that small window of time, victims were sharing their home locations with predators, leading to sexual crimes. She emphasised the alarming speed at which ""sexual grooming"" occurs, with predators exploiting the vulnerability of children through social media interactions. She said the process often involved luring victims with promises and pleasures, quickly building trust, and making sexual crimes easier to perpetrate. ""Within an hour, they engage in sexual relations; this is through social media... how 'sexual grooming' occurs rapidly."" ""(Victims) are drawn in by the 'powerful' words of the predator, which entice or deceive the children. ""Usually, trust is built quickly by offering sweet promises and pleasures, making sexual crimes easier to occur. ""Telecommunication devices and the internet facilitate this process, with introductions, chatting, and home visits (e-hailing services) making it easier for them to meet,"" she said during the Townhall Discussion of the Selangor Contingent Police 2024, held here today. The Community Welfare Responsibility Programme, which has been ongoing for years, was also attended by the Selangor Police Chief Datuk Hussein Omar Khan. Siti Kamsiah explained that children were among the groups most easily drawn to and influenced by social media and seeking content in the online world. ""When they give a 'like,' it can attract public attention. There is also a stigma that children can attract someone, and they become a source of pride... I see that self-control is lacking,"" she said. She also mentioned that in efforts to address this issue, parents should not only educate but also monitor their children's behaviour, especially in the use of gadgets and monitor how they navigate the internet. ""The learning process at home is unavoidable. Parents must educate, control, and be aware of the risks in their children's environment. We can no longer rely solely on physical movements outside the home to prevent crimes, as crimes often start at home,"" she said. At the same time, Siti Kamsiah confirmed that Selangor was the highest contributor to sexual crime cases compared to other states in the past three years, with 90 per cent involving locals. ""Selangor is the highest state and the number of cases is far higher compared to other states. Among the factors are its population, proximity to other states' borders such as Negri Sembilan, Kuala Lumpur, and Perak. So, it leads to more access to Selangor. ""After Selangor, it's Johor... it's all based on population density and economic activities. The B40 group faces unstable economic conditions, educational neglect, household conditions and divorce,"" she said."
2 ex-officials of Kelantan water company among 4 nabbed by MACC [NSTTV],Sharifah Mahsinah Abdullah,"May 15, 2024 @ 3:45pm","KOTA BARU: Two former senior officers of a Kelantan water company were among four people arrested by the Malaysian Anti-Corruption Commission (MACC) over a probe into a failed tube wells project in the state. The other two people arrested are owners of a company that acted as consultants for the project. According to sources, MACC detained the four, aged 40 to 60, in separate locations in Kota Baru this morning. The arrests come after the New Straits Times reported on the plight of villagers in Kota Baru who have been struggling with water supply. ""These wells are supposed to work to supply sufficient water to the people but preliminary investigations found that these wells could not produce the optimal amount of water,"" said the source. ""This is likely caused by corruption and malpractices in the implementation of the project."" MACC also seized the suspects' mobile phones and documents. When contacted, MACC Chief Commissioner Tan Sri Azam Baki confirmed the arrests. The case is being investigated under Section 16 of the MACC Act for corruption. The suspects will be brought to the Kota Baru Sessions Court tomorrow for remand."
Ex-company chairman claims trial to conspiring to use fake documents,Ahmad Johari Mohd Ali,"May 15, 2024 @ 3:27pm","KUALA LUMPUR: The former chairman of GIIB Holdings Berhad was charged at the Sessions Court today with conspiring by ordering the company secretary to use a forged financial statement last year. The accused, Tai Boon Wee, 64, however pleaded not guilty and asked to be tried after the charge was read out before judge Azura Alwi. Tai was charged with dishonesty conspiring by ordering the company secretary to use a forged Interim Financial Statement for Period Ended March 31, 2023 (3rd Quarter) for GIIB as genuine. He was accused of committing the offence at the Bursa Malaysia Berhad office, Exchange Square, Bukit Kewangan on May 29 last year. The charge, framed under Section 109 of the Penal Code, read with Section 471 of the same code, carries a maximum jail term of two years, or fine, or both upon conviction. Earlier, deputy public prosecutor Anis Najwa Nazari offered RM20,000 bail with one surety and additional conditions of reporting to the Malaysian Anti-Corruption Commission monthly and passport to be surrendered to the court until case disposal. Defence counsel Wan Shahrizal Wan Ladin, however, pleaded for a lower bail sum on grounds that his client had cooperated with the anti-graft agency throughout investigations. Judge Azura granted a bail of RM20,000 with one surety and ordered his passport to be surrendered to the court until case disposal. She set July 5 for mention. On Jan 13 last year, Tai pleaded not guilty at the Sessions Court on charges of presenting false documents to an audit company related to the sales and disposal of used machines worth RM2.95 million. However, on Oct 24 the same year, the High Court freed him after allowing an application to set aside all charges."
KLIA customs officer charged with 43 counts of corruption [NSTTV],Ahmad Hasbi,"May 15, 2024 @ 3:01pm","SEREMBAN: A customs officer was today slapped with 43 charges of accepting bribes amounting to RM69,350  in return for not inspecting a company's lorries at the Kuala Lumpur International Airport (KLIA) Cargo terminal. The accused, Mohammad Zyed Ibrahim, 41, however pleaded not guilty to all the charges before Sessions Court Judge Meor Sulaiman Ahmad Tarmizi. According to the charges, the accused, as a Grade WK41 Customs Officer on duty at the KLIA Customs Department, had corruptly obtained for himself a bribe amounting to a total of RM69,350 from the owner of a company through an online transfer to the accused's bank account. The bribe was an incentive not to check the lorries belonging to the company that transports goods out of the KLIA Cargo Terminal. The act was carried out from Sept 16,  2017 to Jan 6, 2022 at a bank branch near Jalan Besar, Nilai. He was charged under Section 17(a) of the Malaysian Anti-Corruption Commission (MACC) Act 2009 [Act 694] which is punishable under Section 24(1) of the same Act. According to the act, any person who commits an offence under sections 16, 17, 20, 21, 22 and 23 shall on conviction be liable to imprisonment for a term not exceeding 20 years. They can also be fined not less than five times the amount or value of the bribe, if the bribe can be assessed or is of a monetary nature, or RM10,000 whichever is higher. The prosecution team consisting of MACC deputy public prosecutor Muhammad Asraf Mohamed Tahir, Nurul Atiqah Mohamad Alias and Mohd Afif Ali objected to any bail being given to the accused. ""It is clear that the accused's actions are a betrayal of the community and a negative image for the Customs Department. Corruption is also a serious offence and the accused is also a flight risk,"" they said. This is because, the accused never contacted or surrendered to the MACC even though a wanted notice was aired in the local media, and it took 65 days to track down the accused before he was arrested in Bintulu, Sarawak, on May 7. The accused's lawyer, Muhamad Aizat Fakri appealed for his client to be given a reasonable amount of bail on the grounds that he is a single father of a five-year-old. He said the accused was willing to be subjected to additional conditions and applied for a bail of RM10,000. The court then decided not to grant any bail because it took into account the risk of the accused escaping based on the record of the investigation. The court set June 14 for mention of the case."
"Only King can decide on Najib's house arrest order, says PM",Mohd Nasaruddin Parzi,"May 15, 2024 @ 2:50pm","KUALA LUMPUR: The house arrest order for former prime minister Datuk Seri Najib Razak should only be contemplated by His Majesty Sultan Ibrahim, King of Malaysia, once the 1Malaysia Development Bhd (1MDB) has case concluded. Prime Minister Datuk Seri Anwar Ibrahim, in an interview with Bloomberg at the 2024 Doha Economic Forum in Doha yesterday, said he would only propose such a measure if His Majesty specifically asked for his opinion. ""If the king seeks my advice, I would recommend, 'Your Highness, let the legal process unfold,'"" he said during a special session titled 'In Conversation With the Prime Minister of Malaysia', which was moderated by Bloomberg Television's Southeast Asia Chief Correspondent Haslinda Amin.   Anwar said all parties must concentrate on the ongoing proceedings of the 1MDB case rather than diverting attention to the recent discussions surrounding Najib's potential house arrest. ""In the end, it's the prerogative of His Majesty to decide. As prime minister, I will uphold the authority of the king."" On April 1, Najib, 70, filed an application in the Kuala Lumpur High Court seeking leave for judicial review to challenge the validity of the 16th Yang di-Pertuan Agong's Addendum Decree. Subsequently, Umno President Datuk Seri Dr Ahmad Zahid Hamidi submitted an affidavit as a 'critical witness', expressing his support for Najib's application for judicial review to contest the existence of the Addendum Decree. Zahid, in his affidavit sworn on April 9, said he was informed about the existence of the decree by the Investment, Trade and Industry Minister Datuk Seri Tengku Zafrul Tengku Abdul Aziz, during a meeting at the Umno President's residence in Country Heights, Kajang, on Jan 30. The Addendum Decree entails the former prime minister serving a six-year house arrest term."
"Elderly siblings, two others charged with drug trafficking in Pontian",Jassmine Shadiqe,"May 15, 2024 @ 2:39pm","PONTIAN: Two elderly siblings and their alleged accomplices were charged at the magistrate's court here today with drug trafficking. Chan Ah Moi, 75, her brother Chan Chui Lai, 59, as well as Tan Chee Seong, 50, and Lim Huang Kin, 40, nodded when the charges were read before magistrate Nur Azzuin Abdul Moati. No pleas were recorded as the case falls under the jurisdiction of the High Court. According to the charge sheet, the accused allegedly trafficked 23,572.74g and 532.59g of methylenedioxymethamphetamine (MDMA), and 362.02g of ganja at a house in Kukup Laut, Pontian, at 1.30am on May 4. They were charged under Section 39B(1)(a) of the Dangerous Drugs Act 1952, punishable under Section 39B (2) of the same act, which provides for the death penalty or life imprisonment, and a minimum of 15 strokes of the rotan if not sentenced to death. Chui Lai also faced an additional charge of trafficking 1,638.81g of MDMA. In the same court, the four accused were also charged with drug possession. All four pleaded not guilty to the charge of possessing 232.6 g of ketamine. Chui Lai also pleaded not guilty to another charge of possessing 275g of nimetazepam. All the accused are charged under Section 12(2) of the Dangerous Drugs Act 1952, which is punishable under Section 12(3) of the same act. The maximum penalty is a fine not exceeding RM100,000, an imprisonment term not exceeding five years, or both. The alleged drug possession offences were said to have occurred at the same house in Kukup Laut. The suspects will remain in police custody as the alleged offences are not bailable. Deputy public prosecutor Nurezzati Zaini prosecuted, while the accused were unrepresented. The next mention is set for July 21, pending a chemical report."
"Man charged with murdering pregnant girlfriend last year, allowed to be sent for mental observation",Bernama,"May 15, 2024 @ 2:34pm","KLANG: The High Court here today allowed an application by a man charged with the murder of his pregnant girlfriend last year for him to be referred to a psychiatrist. Deputy Registrar Mohd Hirman Ab Raub allowed the application by Muhammad Fakrul Aiman Sajali, 21, made through his lawyer Muhammad Nor Tamrin, after deputy public prosecutor Rosnee Mohd Radzuan did not object to it. Earlier, Muhammad Nor informed the court that the defence had, in September last year, submitted a similar application at the Sungai Besar magistrate's court, but was rejected. ""The magistrate was of the view that the matter was under the jurisdiction of the High Court to hear and decide. ""The request to refer my client to a psychiatrist for further observation is made under Section 342 of the Criminal Procedure Code,"" he said. Mohd Hirman then set July 23 for the submission of the psychiatric reports and other documents. Last March 21, the Sungai Besar magistrate's court ordered the case transferred to the Klang High Court. On June 1 last year, Muhammad Fakrul Aiman was charged with murdering Nur Anisah Abdul Wahab, 21, at Jalan Sungai Limau here between 8.30pm on May 22 and 8am on May 23, 2023. The charge was framed under Section 302 of the Penal Code which provides the death sentence upon conviction.– BERNAMA"
